name,bouts,KO %
RONNIE CARROLL,21,9.5
JACK CARROLL,100,38.2
JONO CARROLL,20,19
JIMMY CARTER,121,26.4
DOMINICK CARTER,40,41.5
JOEL CASAMAYOR,45,48.9
RODOLFO CASANOVA,106,48.1
JOHN RIEL CASIMERO,34,60
LAZARO MIGUEL CASSERES,4,25
PAUL CASSIDY,36,2.8
BRIAN CARLOS CASTANO,19,57.1
ROCKY CASTELLANI,84,19
MERLIN CASTELLANO,6,33.3
JOSE LUIS CASTILLO,80,71.3
DIEGO ARMANDO CASTILLO,1,0
CESAR LEON ESTEBAN CASTILLO,1,0
CELEX ANTONIO CASTRO,2,100
RAMIRO MAXIMILIANO CASTRO,1,0
CARLOS CASTRO,25,42.3
JACK CATTERALL,25,52
HARIS CAUSEVIC,14,50
TYSON CAVE,32,37.5
JOSE CAYETANO,28,35.7
MATIAS CEBALLOS,1,0
SANJA CEBIC,1,0
JULIO CEJA,37,75.7
JULIA GABRIELA CELES,6,0
HUGO CENTENO JR,31,43.8
FACUNDO DAMIAN CENTURION JUAREZ,5,0
EDUARDO GABRIEL CEPEDA,1,0
MARCEL CERDAN,115,56.5
ANTONIO CERVANTES,106,42.5
JAVIER NICOLAS CHACON,35,25.7
RUSLAN CHAGAEV,38,55.3
ISAAC CHAMBERLAIN,2,33.3
EDDIE CHAMBERS,45,48.9
VLADIMIR CHANTURIA,14,60
ALEXANDER MAXMILIANO CHAPARRO,3,33.3
EZZARD CHARLES,119,43.7
JERMELL CHARLO,37,50
JERMALL CHARLO,30,73.3
DAVE CHARNLEY,61,44.3
DYLAN CHARRAT,19,21.1
JACK CHASE,119,29.8
ALAN ABEL CHAVES,8,75
JESUS CHAVEZ,52,57.7
FACUNDO CHAVEZ,6,66.7
JULIO CESAR CHAVEZ,115,74.8
RICARDO JAVIER CHAVEZ,2,0
JESSICA CHAVEZ,37,10.8
JULIO CESAR CHAVEZ JR,56,58.9
TED CHEESMAN,19,47.4
LEROY CHILDS,15,80
ISAAC CHILEMBA,35,28.6
DERECK CHISORA,42,54.8
KID CHOCOLATE,152,33.6
ANTON CHRISTOFORIDIS,77,16.9
FEDOR CHUDINOV,24,58.3
KAREN CHUKHADZHYAN,13,23.1
JACK CICERO,6,66.7
MICHAL CIESLAK,19,57.1
NINO CIRILO,51,23.5
SOULEYMANE CISSOKHO,10,60
JAMONTAY CLARK,14,46.7
HOWARD CLARKE,108,8.3
ALLEN CLARKE,32,31.3
HELENA CLAVEAU,2,0
CUSTIO CLAYTON,17,64.7
JUSTIN CLEMENTS,51,21.6
DONALD BIFF CLINE,18,72.2
BLAIR COBBS,4,75
MARCELO ESTEBAN COCERES,32,46.9
GERRIE COETZEE,40,52.5
JEROME COFFEE,50,40
JUAN MARTIN COGGI,82,53.7
CURTIS COKES,80,37.5
BRIAN COLEMAN,172,2.9
DERRELL COLEY,43,61.4
LUIS COLLAZO,47,42.6
CECIL COLLINS,15,33.3
STEVE COLLINS,39,53.8
EDDIE COLON,17,23.5
RICHARD COMMEY,31,80.6
ANGEL CONCEPCION,6,0
MICHAEL CONLAN,9,66.7
BILLY CONN,76,19.7
ALEXIS CONTRERA,1,0
CHARLES CONWELL,2,50
YOUNG CORBETT III,155,20.6
JERMAL CORBIN,20,70
JOE CORDINA,11,63.6
WALTER CORDOBA,2,50
RICARDO CORDOBA,44,56.8
JOEL CORDOVA,8,12.5
MARVIN CORDOVA JR,24,45.8
MAURICE CORE,18,50
GONZALO GASTON CORIA,20,30
MARICELA CORNEJO,4,25
DIEGO CORRALES,45,73.3
JEZREEL CORRALES,24,32
CRISTIAN CORTEZ,1,0
PABLO EZEQUIEL CORZO,10,100
GEORGE COSTNER,87,49.4
JORGE LUIS COTA LUGO,28,78.6
MIGUEL COTTO,47,70.2
PAT COWDELL,42,42.9
JAMIE COX,27,51.9
JOHNNY COYLE,20,10
TERENCE CRAWFORD,37,75.7
ALAN CRENZ,2,100
ANTHONY CROLLA,45,28.9
DENYS CRONIN,21,42.9
NIGEL CROOK,28,10.7
DAVE CROWLEY,180,20
RICARDO ANTONIO CRUZ,1,0
DENNIS CRUZ,31,71
SUSANA CRUZ PEREZ,23,34.8
CARLOS CRUZAT,37,59.5
SOL CUDOS,4,25
JESUS MARCELO ANDRES CUELLAR,33,66.7
MARIA FLORENCIA CUELLO,2,0
MICAELA DENISE CUELLO,1,0
ALFREDO CUEVAS,37,45.9
PIPINO CUEVAS,50,62
JACK CULCAY,33,39.4
GARY CULLY,9,40
CRAIG CUNNINGHAM,18,16.7
STEVE CUNNINGHAM,37,35.1
DONALD CURRY,40,62.5
LOUIS CURTIS,22,31.8
BRIAN CURVIS,41,53.7
JOE CUSUMANO,10,63.6
BOBBY CZYZ,52,53.8
KEVIN DAIGLE,27,40.7
SAKEASI DAKUA,43,36.4
GASTON DAMIN,1,0
ARTHUR DANAHAR,74,39.2
BILLY DANIELS,49,22.4
LES DARCY,50,58
MICHAEL DASMARINAS,33,60.6
YAUHENI DAUHALIAVETS,1,0
LAURENT DAUTHUILLE,62,38.7
CHUCK DAVEY,49,53.1
OHARA DAVIES,21,68.2
GERVONTA DAVIS,24,95.8
JOHN L. DAVIS,55,25.5
LUIZA DAVYDOVA,1,0
FREDDIE DAWSON,121,38.8
CHAD DAWSON,40,45.2
BOBBY DAWSON,52,32.7
DAVEY DAY,74,39.2
BRYAN DE GRACIA,27,74.1
ESTEBAN DE JESUS,63,52.4
ENRIQUE DE LA CRUZ,1,0
DIEGO DE LA HOYA,23,41.7
OSCAR DE LA HOYA,45,66.7
KENNY GILBERTO DE LEON,1,0
MARIE EVE DECAIRE,10,0
ADAM DEINES,18,44.4
RONNIE DELANEY,68,41.2
GILBERT DELE,38,60.5
DANNA KASSANDRA DELGADO RODRIGUEZ,1,0
JUSTIN DELOACH,21,36.4
PADDY DEMARCO,104,7.7
ANTONIO DEMARCO,42,57.1
JACK DEMPSEY,76,59.2
SERGIY DEREVYANCHENKO,15,66.7
OSHIN DERIEUW,14,35.7
REAGAN DESSAIX,3,66.7
TOMMY DEVLIN,74,24
JUAN DIAZ,45,44.4
POLI DIAZ,47,59.6
JOSEPH DIAZ,32,45.5
ANGEL DAVID DIAZ,1,0
CHRISTOPHER DIAZ,28,55.2
ENRIQUE SEGUNDO DIAZ,1,100
MICAELA DIAZ,4,0
YSMERY GABRIELA DIAZ PEREZ,1,0
MIKE DIBENEDETTO,24,58.3
PIERRE HUBERT DIBOMBE,5,60
JAMES DICKENS,25,26.9
LEROY DIGGS,24,41.7
FRANCO DIORIO,34,58.8
ANDRE DIRRELL,29,55.2
ANTHONY DIRRELL,36,66.7
SCOTT DIXON,51,17.6
JOVANA DJORDJEVIC,3,0
MELINDA DOBO,1,0
BERNARD DOCUSEN,90,24.4
ISAAC DOGBOE,21,61.9
TJ DOHENY,23,69.6
KARINA IVANA DOMINGUEZ,3,0
SERGIO DONAIRE,2,50
NONITO DONAIRE,46,54.2
FRANZ DORFER,36,52.8
YUNIER DORTICOS,25,84.6
MILOS DOVEDAN,25,6.7
TERRY DOWNES,44,63.6
CLOVIS DROLET,1,0
OSCAR DUARTE JURADO,20,61.9
DANIEL DUBOIS,16,87.5
JOHANN DUHAUPAS,43,58.1
KAREN DULIN,17,5.9
THOMAS DULORME,30,51.6
BRIAN DUMAS,14,28.6
VINCE DUNDEE,157,18.4
COLIN DUNNE,41,63.4
ROMEO DUNO,23,69.6
RALPH DUPAS,135,14.1
PAT DURAN,33,36.4
GISELA MARIBEL DURAN,1,0
ROBERTO DURAN,119,58.8
JUAN CARLOS DURAN,84,24.7
OLANREWAJU DURODOLA,38,74.4
ALAN EZEQUIEL DUTRA,1,0
BOBBY DYKES,151,38.4
KING KONG DYUBELE,9,11.1
DIKA DZANIC,2,0
SERHIY DZINZIRUK,40,60
ROBERT EASTER JR.,24,58.3
DANNY EATON,19,57.9
MARIA LUZ IRUPE ECHENIQUE,2,0
GUSTAV EDER,162,36.4
ISLAM EDISULTANOV,2,100
CHARLIE EDWARDS,14,28.6
DEREK EDWARDS,35,40
SUNNY EDWARDS,10,10
SAM EGGINGTON,35,48.6
ALEKSEI EGOROV,10,60
ANDERS EKLUND,25,40
AHMED EL MOUSAOUI,35,17.1
AHMED ELBIALE,21,81
DAVI ELIASQUEVICI,22,45.5
RASHIDI ELLIS,22,63.6
RONALD ELLIS,11,58.3
BARRY ELLIS,34,11.8
FLASH ELORDE,118,28
JARON ENNIS,25,88.5
SHOHJAHON ERGASHEV,14,85.7
LUKE ERWIN,33,6.1
OSCAR ESCANDON,31,58.1
MARCOS ESCUDERO,9,88.9
BILINDO ESEKO,2,0
LEONARDO ESPINAL,1,0
KEVIN NICOLAS ESPINDOLA,9,22.2
RICARDO ESPINOZA FRANCO,17,70.6
EDUARDO ESQUIVEL,1,0
DERIAN ULISES ESQUIVO,1,0
LAUTARO DANIEL ESTIGARRIBIA,1,0
JUAN FRANCISCO ESTRADA,44,62.2
JOSE MARIN ESTRADA,10,40
CHRIS EUBANK,53,43.4
CHRIS EUBANK JR,31,71
JUNIOR FA,3,66.7
ESQUIVA FALCAO,27,66.7
YAMAGUCHI FALCAO,6,28.6
RAY FAMECHON,119,31.9
JOSE JESUS FARFAN,2,0
ALEJANDRO FARIAS,3,0
TEVIN FARMER,36,16.2
TOM FARRELL,5,0
RUSLAN FAYFERR,27,59.3
ANDREY FEDOSOV,35,74.3
TERRY FEELEY,21,52.4
GEORGE FEENEY,29,27.6
VINCENT FEIGENBUTZ,35,80
JEFF FENECH,33,63.6
SANTIAGO FERNANDEZ,5,40
BRAIAN FERNANDEZ,3,0
ANTONIO FERNANDEZ,100,8.9
JON FERNANDEZ,22,73.9
GASPAR FERNANDEZ,3,100
CAROLINA FERRARI,5,0
JOSE DAVID FERRER,2,0
MARIA INES FERREYRA,2,50
GUSTAVO ALEJANDRO FERREYRA,1,0
MARIO FERREYRA,1,0
MARC FICHTNER,14,50
ROCKY FIELDING,30,53.3
JACKIE FIELDS,85,36
BRANDON FIGUEROA,18,72.2
OMAR FIGUEROA,30,63.3
JOSEPH FIGUEROA,70,4.3
SCOTT FITZGERALD,14,64.3
SEAN FITZGERALD,33,33.3
JOE FITZPATRICK,10,63.6
TERRY FLANAGAN,39,38.5
FRANCO FLORES,1,0
BJ FLORES,37,54.1
GABRIEL FLORES JR.,2,0
TIGER FLOWERS,159,34
JERRY FOLEY,9,22.2
LUIS FOLLEDO,135,43.4
ZORA FOLLEY,96,45.8
JEFRIN FONSECA SILVA,1,0
RYAN FORD,21,43.5
GEORGE FOREMAN,81,84
SEBASTIAN FORMELLA,21,40.9
VERNON FORREST,44,64.4
JERRY FORREST,10,54.5
JORGE FORTEA,23,26.1
BLAS FORTUNA,3,0
JAVIER FORTUNA,39,61
FRENCY FORTUNATO SAYA,1,0
LEE FORTUNE,57,25.9
O'SHANIQUE FOSTER,16,50
BOB FOSTER,65,70.8
CHARLES FOSTER,19,47.4
MELVIN FOSTER,38,47.4
ANTHONY FOWLER,15,73.3
TIGER JACK FOX,174,49.7
ALANTEZ FOX,29,41.4
CARL FRAMPTON,29,50
DRIAN FRANCISCO,35,62.9
JOSHUA FRANCO,18,33.3
JERMAINE FRANKLIN,20,65
STACY FRAZIER,33,45.5
RODNEY FRAZIER,20,60
JOE FRAZIER,37,73
TOMMY FREEMAN,223,37.2
ACELINO FREITAS,41,80.5
VITOR JONES FREITAS,23,43.5
CARL FROCH,35,68.6
AURELIE FROMENT,4,0
SAMMY FULLER,76,28.9
GENE FULLMER,64,37.5
STEPHEN FULTON,2,50
SEBASTIAN FUNDORA,15,56.3
ANDREW FURLONG,37,16.2
KEVIN FURRER,2,50
GAKUYA FURUHASHI,32,36.4
HUGHIE FURY,27,51.9
TYSON FURY,31,65.6
RAYMART GABALLO,5,100
AL GAINER,106,38.3
KID GALAHAD,28,57.1
FRANK GALARZA,24,50
ANDREA GALASSO,7,42.9
KHAOSAI GALAXY,48,85.4
VICTOR GALINDEZ,68,48.6
CARLOS GALINDO,1,0
AMANDA GALLE,4,0
MATIAS GALUCCI,3,0
JOHNNY JOSE GALVEZ GARCIA,1,0
JOMA GAMBOA,45,48.9
YURIORKIS GAMBOA,33,52.9
JOE GANNON,36,25
BABY JOE GANS,161,32.1
STEVE GARBER,46,23.9
FACUNDO DAVID GARCIA,3,33.3
IVAN GABRIEL GARCIA,4,75
DANNY GARCIA,38,53.8
MIKEY GARCIA,41,73.2
IHOSVANY RAFAEL GARCIA,3,100
CEFERINO GARCIA,162,45.7
RYAN GARCIA,20,81
BARBARA GARCIA,1,0
JONATHAN MARTIN GARCIA,1,0
SERGIO GARCIA,32,40.6
