name,bouts,KO %
VAGE SARUKHANYAN,24,16
OSCAR ANDRES SAUCEDO,1,0
ALEX SAUCEDO,30,63.3
JUAN CRUZ SAUCEDO,5,0
JONATHAN SAUCO,1,100
BILLY JOE SAUNDERS,29,48.3
KYOSUKE SAWADA,15,31.3
JOHNNY SAXTON,66,31.8
MARCOS EDUARDO SAYAL,2,0
RAY SAYERS,13,23.1
JACK SCALES,65,35.4
JESSICA SCHADKO,3,0
MAX SCHMELING,70,57.1
GUSTAV SCHOLZ,96,47.9
ERICH SCHOPPNER,40,40
TOM SCHWARZ,27,66.7
LAUREANO SCIUTO,4,75
MALIK SCOTT,41,31.7
BRUCE SCOTT,37,48.6
ANDREW SELBY,13,53.8
LEE SELBY,31,26.5
CLETUS SELDIN,26,75
EZRA SELLERS,37,70.3
GENESIS SERVANIA,27,40.7
ART SERWANO,30,30
VYACHESLAV SHABRANSKYY,15,66.7
DAVE SHADE,244,6.8
KIZEMA SHAKANGESA,6,0
WILLIE SHANNON,20,66.7
ARCHIE SHARP,17,50
OMAR SHEIKA,44,47.7
JESSE SHELBY,40,47.5
SHANE SHERIDAN,8,12.5
DAN SHERRY,28,35.7
KUNIAKI SHIBATA,56,44.6
RANDY SHIELDS,51,41.2
TONY SHUCCO,115,17.1
MARVIN SHULER,11,72.7
DANIEL SHULL,29,3.4
MATTEO SIGNANI,32,24.2
SANTANDER SILGADO,34,61.8
TONY SILKSTONE,15,6.7
IGNACIO AGUSTIN SILVA,3,0
DIEGO SILVA,2,100
YANINA SILVA,1,0
BILLY SIM,10,70
PETER SIMKO,41,4.9
RAFAYEL SIMONYAN,8,62.5
ANTHONY SIMS JR,20,85
ANDREY SIROTKIN,16,25
PAVEL SISKA,44,9.1
OLEYDONG SITHSAMERCHAI,58,36.2
LWANDILE SITYATHA,24,29.2
EDUARD SKAVINSKYY,10,45.5
CALLUM SMITH,28,67.9
JEFF SMITH,180,26.2
BUCK SMITH,202,52.9
JAMES SMITH,62,51.6
MITCHELL SMITH,11,45.5
OAKLAND BILLY SMITH,86,37.1
ERNIE SMITH,41,12.2
TOM SMITH,99,17.2
LIAM SMITH,32,50
JOE SMITH JR,29,70
YULIYA SMYZHINA,1,0
RENALDO SNIPES,48,45.8
LIBORIO SOLIS,37,35.9
BILLY SOOSE,41,34.1
NICOLAS AGUSTIN SORIA,1,0
IVAN CESAR SORIA,1,0
MICHEL SORO,38,63.2
JASON SOSA,31,51.6
JOSE RAFAEL SOSA,57,42.1
NESTOR DANIEL SOSA,3,0
JORGE RODRIGO SOSA,12,53.8
HUMBERTO SOTO,81,44.6
ALFREDO SOTO,5,60
PAVEL SOUR,14,42.9
LUCIANO SPARICO,1,0
ERROL SPENCE JR,26,77.8
MICHAEL SPINKS,32,65.6
TYRONE SPONG,12,91.7
BILL SQUIRES,33,45.5
GARY ST. GERMAIN,19,0
RICKY STACKHOUSE,42,33.3
ROGER STAFFORD,34,29.4
CHANTEL STANCIEL,26,48.1
JAMES STANTON,23,34.8
MARLON STARLING,52,50.9
FREDDIE STEELE,139,41.4
PAWEL STEPIEN,12,69.2
NIKOLA STEVANOVIC,25,32
LAURIE STEVENS,41,46.3
CURTIS STEVENS,37,59.5
ADONIS STEVENSON,32,75
SHAKUR STEVENSON,14,43.8
RUDELL STITCH,34,38.2
BERMANE STIVERNE,30,70
RICK STOCKTON,19,21.1
RICKY STONER,19,42.1
BILLY STRAUB,10,0
BRUCE STRAUSS,136,40.4
GARY STRETCH,25,56
HANS STRETZ,89,39.3
JAY STRICKLAND,31,67.7
JERRY STRICKLAND,135,3.7
CURTIS STRONG,28,35.7
JUSTO SUAREZ,28,48.3
BRAIAN NAHUEL SUAREZ,15,87.5
JAVIER SUAZO,30,33.3
ESTEURI METIVER SUERO,1,100
MACIEJ SULECKI,31,35.5
MIKE SUSKI,14,50
DANNY SUTTON,48,40
YUSUKE SUZUKI,9,36.4
LEE SWABY,56,19.6
NEIL SWAIN,24,33.3
FRANKIE SWINDELL,65,42.4
IMRE SZELLO,25,64
KAMIL SZEREMETA,22,21.7
ISTVAN SZILI,21,38.1
ARTUR SZPILKA,28,57.1
GRETA SZUCS,2,0
ANDY TABANAS,47,51.1
PEDRO TABARES,2,0
ANDREW TABITI,18,72.2
RAYMOND TABUGON,23,26.1
EMMANUEL TAGOE,32,45.5
RYOHEI TAKAHASHI,7,0
CARLOS TAKAM,44,63.6
ELTEFAT TALEBI,28,7.1
MARTIN FEDERICO TANCREDI,2,100
STEFFEN TANGSTAD,28,50
MARLON TAPALES,36,43.2
NEL TARLETON,148,28.4
ANTONIO TARVER,37,56.8
GULSUM SEYMA TATAR,2,50
THOMAS TATE,48,58.3
EDIS TATLI,35,27.8
MARCOS AGUSTIN TAUCHER,1,100
MELDRICK TAYLOR,47,42.6
JERMAIN TAYLOR,38,52.6
JOSH TAYLOR,17,76.5
KARL TAYLOR,165,2.4
BRETT TAYLOR,28,14.3
TIWON TAYLOR,50,38
PATRICK TEIXEIRA,31,64.7
LEW TENDLER,170,22.2
EDOUARD TENET,104,10.6
JAMES TENNYSON,30,74.2
JHACK TEPORA,24,68
LELA TERASHVILI,3,0
SID TERRIS,117,10.3
HIROAKI TESHIGAWARA,26,57.7
ZOLANI TETE,31,65.6
EBENEZER TETTEH,10,90
MARCEL THIL,150,36
EDDIE THOMAS,48,27.1
BILLY JOE THOMAS,33,21.2
GLENN THOMAS,37,43.2
JOHN THOMAS,66,34.8
LIONELL THOMPSON,27,42.9
KEITH THURMAN,30,71
DAVE TIBERI,28,25
DICK TIGER,82,32.9
JAMES TILLIS,65,47
FABRICE TIOZZO,50,64
ENIKO TIRINGER,3,0
EVGENY TISHCHENKO,4,40
CATRIEL TOLEDO,1,0
JAMES TONEY,88,51.1
ADRIAN TORRES,1,0
JOSE TORRES,45,64.4
AGUSTIN JUAN MANUEL TORRES,2,0
WINDELL TORRES BOLANOS,1,0
LOUIS TOUTIN,1,0
ARTIE TOWNE,108,36.7
DANNY TREVINO,25,60
GARY TRIANO,15,6.7
FELIX TRINIDAD,45,77.8
AUSTIN TROUT,38,47.4
WILLIE TROY,41,56.1
JAVIER TROYANO RODRIGUEZ,1,0
CALEB TRUAX,38,45.2
COURAGE TSHABALALA,30,73.3
REX TSO,15,56.3
PANAGIOTIS TSOCHATARIDIS,1,100
TIM TSZYU,4,40
KOSTYA TSZYU,33,73.5
DAVID TUA,59,72.9
TONY TUBBS,57,44.1
GENE TUNNEY,84,56.5
FABIO TURCHI,18,72.2
JOHNNY TURNER,50,64
GIL TURNER,77,45.5
RANDOLPH TURPIN,75,60
IRVING GUSTAVO TURRUBIARTES,2,0
SANNA TURUNEN,12,8.3
SOPIO TUSIASHVILI,3,0
MIKE TYSON,56,74.6
YORDENIS UGAS,29,41.4
JUERGEN ULDEDAJ,8,12.5
YVES ULYSSE JR,20,45
MARK URVANOV,14,33.3
OLEKSANDR USYK,18,72.2
JOSE UZCATEGUI,33,70.6
LEONARDO DAVID UZCATEGUI,2,0
DANILO VACA,1,100
RODRIGO VALDES,74,58.1
OSCAR VALDEZ,29,67.7
MAURICIO VALENCIA,3,66.7
TONY VALENTI,34,58.8
NIKOLAY VALUEV,52,64.2
CHRIS VAN HEERDEN,31,38.7
BEP VAN KLAVEREN,110,19.1
MATT VANDA,61,41
VARDGES VARDAN VARDANYAN,6,14.3
SAMUEL VARGAS,38,35.9
FERNANDO VARGAS,31,71
JESSIE VARGAS,34,32.4
FRANCISCO VARGAS,30,60
REY VARGAS,34,64.7
SEBASTIAN VARGAS ARGUEDAS,1,0
JOAQUIN HUMBERTO VARGAS MEDINA,1,0
ALVIN VARMALL JR,5,80
VALENTIN VAZQUEZ,2,0
DAVID VEDDER,53,5.7
CORNELIO VEGA,75,28
MARTIN OSVALDO DE LOS RIOS VEGA,1,0
ERIK VEGA ORTIZ,17,52.9
JOSE VELASQUEZ,35,51.4
CRISTOFER KEMPES VELASQUEZ,2,0
ANDRIY VELYKOVSKIY,15,60
ANDY VENCES,25,48
CHRIS VENDOLA,17,64.7
ENRICO VENTURI,94,7.4
GUSTAVO VERA,16,43.8
FELIX VERDEJO,28,60.7
NICOLAS AGUSTIN VERGARA,2,50
JOE CJ VESCIO,14,57.1
AMILCAR VIDAL,15,80
FLORENCIA VILLALBA,3,0
DANIEL VILLALOBOS RAMIREZ,1,0
ROBERT VILLEMAIN,63,22.2
BRIAN VILORIA,42,50
LEONARDO OSVALDO VIRZI,4,40
BRUNO VISINTIN,89,25.6
GUSTAVO DAVID VITTORI,29,40
MAXIM VLASOV,48,53.1
ROSE VOLANTE,15,50
PATRICE VOLNY,11,54.5
MARIUSZ WACH,40,43.9
ERSKINE WADE,30,43.3
BILLY WAGNER,45,51.1
SHINGO WAKE,33,50
JERSEY JOE WALCOTT,71,45.1
MICKEY WALKER,162,36.6
OTTO WALLIN,21,56.5
LIAM WALSH,22,63.6
RYAN WALSH,30,41.9
NICHOLAS WALTERS,28,72.4
ANACLET WAMBA,49,46.9
MARTIN JOSEPH WARD,27,40.7
STEVE WARD,58,1.7
MICKY WARD,51,52.9
THOMAS PATRICK WARD,29,13.8
ANDRE WARD,32,50
RAU'SHEE WARREN,20,18.2
JOSH WARRINGTON,30,23.3
GERALD WASHINGTON,25,52
PETER WATERMAN,47,70.2
PHIL WATFORD,25,8
SEAMAN TOMMY WATSON,123,22
ARTHUR WEATHERS,39,47.5
SPIDER WEBB,40,47.5
MARK WEINMAN,16,62.5
SCOTT WELCH,26,65.4
RICHIE WENTON,30,33.3
RYAN WHEELER,1,0
PERNELL WHITAKER,45,37
SLUGGER WHITE,62,20.3
PAUL WHITTAKER,31,71
DILLIAN WHYTE,29,58.1
JIMMY WILDE,148,66.4
DEONTAY WILDER,44,93.2
RAY WILDING,49,66
TRAMAINE WILLIAMS,19,30
SHERMAN WILLIAMS,56,36.8
CARL WILLIAMS,40,51.2
PAUL WILLIAMS,43,62.8
CLEVELAND WILLIAMS,92,63
IKE WILLIAMS,157,38.9
EVERALD WILLIAMS,11,27.3
CHARLEY DOC WILLIAMS,71,31
HOLMAN WILLIAMS,186,18.7
LIAM WILLIAMS,25,65.4
ROY WILLIAMS,36,61.1
JULIAN WILLIAMS,30,51.6
RODERICK WILLIS,22,36.4
KARL WILLIS,53,31.5
MARK WILLS,33,27.3
DARROLL WILSON,39,53.8
CALIFORNIA JACKIE WILSON,88,42.7
JACKIE WILSON,154,12.9
HOWARD WINSTONE,67,40.3
LUCAS WINTER,1,0
KRZYSZTOF WLODARCZYK,63,61.9
PATRICK WOJCICKI,3,0
MIDGET WOLGAST,215,7.9
PONGSAKLEK WONJONGKAM,96,47.9
LEIGH WOOD,17,47.1
RONALD WRIGHT,58,43.1
BILLY WRIGHT,55,76.4
CHALKY WRIGHT,226,36.2
RICCI WYNNE,16,50
CAN XU,20,15
GAMAL YAFAI,18,55.6
KENYA YAMASHITA,9,44.4
MUKHAMMADKHUJA YAQUBOV,11,54.5
ANTHONY YARDE,20,90
TEDDY YAROSZ,128,13.3
TOMMY YAROSZ,92,18.5
BRIAN YATES,102,5.9
DANIYAR YELEUSSINOV,2,50
AIDOS YERBOSSYNULY,8,50
ANTHONY YIGIT,25,32
AVNI YILDIRIM,23,50
HECTOR ADOLFO YNOCENTE,2,0
TONY YOKA,0,0
DAUD CINO YORDAN,44,62.2
DANIEL AGUSTIN ZABALA,3,0
FLORENCIA NICOLE ZALAZAR,3,0
TONY ZALE,87,51.7
MIRLENY ZAMBRANO,1,0
CARLOS ZAMBRANO,27,40.7
MAXIMILIANO ZARATE,3,0
CARLOS ZARATE,70,90
RUDY ZAVALA,35,60
WILLIAM ZEPEDA,10,100
JOSE ZEPEDA,34,67.6
MICHAEL ZERAFA,31,51.6
TYRON ZEUGE,27,48.3
MIKAEL ZEWSKI,36,62.2
ZHANG ZHILEI,1,33.3
SAMIR ZIANI,35,16.7
FRITZIE ZIVIC,233,35.2
MARIJA ZIVKOVIC,1,0
ARTUR ZIYATDINOV,11,63.6
DEJAN ZLATICANIN,26,61.5
JUAN ROLANDO ZORRILLA,1,100
STEVE ZOUSKI,49,30.6
VERONICA ZULUAGA,3,33.3
JUAN ZURITA,154,29.9
ALFONSO ZVENYIKA LAMBARDA,31,31.3
